p_name,p_club,p_nation,p_league,p_rating,p_position,Alternate_Positions,Card_Version,Run_Style,Price,Price_Variation,Skills_Star,Weak_Foot_Star,Attack_Workrate,Defense_Workrate,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defense / Speed,Physical / Positioning,Height,Popularity,Base_Stats,Ingame_Stats
Matt Grimes,Swansea City,England,EFL Championship,73,CM,CDM,normal,Controlled,0.0,350,3,5,M,H,62,58,75,72,66,68,"179cm | 5'10""",3,401,1927
Kamil Grosicki,Pogoń Szczecin,Poland,PKO BP Ekstraklasa,73,LM,LW,normal,Mostly Explosive,0.0,250,3,3,H,M,85,68,69,73,37,60,"180cm | 5'11""",8,392,1874
Carlos Gruezo,SJ Earthquakes,Ecuador,MLS,73,CDM,CM,normal,Controlled,0.0,200,2,3,L,H,58,46,61,67,70,74,"173cm | 5'8""",0,376,1808
Gabriel Gudmundsson,LOSC Lille,Sweden,Ligue 1 Uber Eats,73,LB,"LWB,LM",normal,Controlled Explosive,0.0,650,3,3,H,L,85,64,67,71,67,70,"180cm | 5'11""",4,424,1950
Guðmundsson,Burnley,Iceland,Premier League,73,CAM,"RM,CM",normal,Controlled,0.0,450,4,4,M,H,65,71,75,73,61,67,"179cm | 5'10""",3,412,2021
Paolo Guerrero,LDU Quito,Peru,Sudamericana,73,ST,CF,normal,Controlled Lengthy,0.0,950,4,4,M,L,53,75,68,70,37,64,"184cm | 6'0""",13,367,1820
Manuel Gulde,SC Freiburg,Germany,Bundesliga,73,CB,0,normal,Mostly Lengthy,350.0,0,2,2,M,M,64,40,51,58,75,71,"184cm | 6'0""",1,359,1699
Gerard Gumbau Garriga,Granada CF,Spain,LALIGA EA SPORTS,73,CM,"CDM,RM",normal,Controlled Lengthy,0.0,350,3,3,M,M,53,67,75,68,72,68,"187cm | 6'2""",1,403,1937
Samuel Gustafson,BK Häcken,Sweden,Allsvenskan,73,CDM,CM,normal,Controlled,0.0,450,3,3,M,L,61,58,75,72,67,72,"186cm | 6'1""",-1,405,1930
Ianis Hagi,D. Alavés,Romania,LALIGA EA SPORTS,73,CAM,CF,normal,Controlled,0.0,350,4,5,M,M,62,72,74,74,36,61,"182cm | 6'0""",9,379,1862
Haris Hajradinović,Kasımpaşa,Bosnia and Herzegovina,Trendyol Süper Lig,73,CM,CAM,normal,Controlled Explosive,0.0,350,3,3,M,M,75,67,76,75,54,68,"178cm | 5'10""",1,415,2003
Sead Hakšabanović,Celtic,Montenegro,cinch Prem,73,LW,LM,normal,Explosive,0.0,0,4,4,H,L,78,67,69,78,29,58,"173cm | 5'8""",1,379,1806
Grant Hanley,Norwich,Scotland,EFL Championship,73,CB,0,normal,Controlled Lengthy,350.0,0,2,3,M,H,53,30,47,49,74,78,"187cm | 6'2""",1,331,1546
Ridgeciano Haps,Genoa,Suriname,Serie A TIM,73,LWB,"LB,LM",normal,Mostly Explosive,0.0,400,3,3,M,M,85,63,65,73,65,70,"175cm | 5'9""",3,421,1963
Makoto Hasebe,Frankfurt,Japan,Bundesliga,73,CB,CDM,normal,Controlled,0.0,350,3,3,M,M,50,51,72,70,77,59,"180cm | 5'11""",6,379,1889
Gabriel Hauche,Racing Club,Argentina,Libertadores,73,RW,"RM,LW",normal,Controlled Explosive,0.0,350,4,3,H,M,77,71,70,74,43,72,"169cm | 5'7""",1,407,1946
Rhys Healey,Watford,England,EFL Championship,73,ST,CF,normal,Controlled Explosive,0.0,350,3,3,H,H,74,75,61,71,30,60,"180cm | 5'11""",2,371,1804
Silvan Hefti,Genoa,Switzerland,Serie A TIM,73,RWB,"RB,RM",normal,Controlled Lengthy,0.0,400,2,3,H,H,78,49,63,65,67,80,"183cm | 6'0""",1,402,1879
Jack Hendry,Ettifaq FC,Scotland,ROSHN Saudi League,73,CB,0,normal,Lengthy,350.0,0,2,2,M,M,69,56,54,61,70,81,"194cm | 6'4""",-1,391,1791
Wayne Hennessey,Nott'm Forest,Wales,Premier League,73,GK,0,normal,Controlled Lengthy,400.0,0,1,3,M,M,73,74,75,70,40,74,"198cm | 6'6""",1,406,874
Christophe Hérelle,Stade Brestois 29,France,Ligue 1 Uber Eats,73,CB,0,normal,Controlled Lengthy,0.0,0,2,2,L,M,50,48,61,61,73,73,"188cm | 6'2""",0,366,1748
Junior Hernández,Deportes Tolima,Colombia,Sudamericana,73,LB,"LWB,LM",normal,Controlled Explosive,0.0,550,3,3,M,M,83,59,65,68,69,55,"172cm | 5'8""",0,399,1870
Mees Hilgers,FC Twente,Holland,Eredivisie,73,CB,0,normal,Mostly Lengthy,350.0,0,2,3,H,M,69,43,53,59,74,75,"186cm | 6'1""",1,373,1710
Casper Højer,Sparta Praha,Denmark,Česká Liga,73,LWB,"LB,LM",normal,Controlled Lengthy,0.0,350,3,2,H,L,74,69,75,70,67,73,"184cm | 6'0""",0,428,2048
Fabian Holland,SV Darmstadt 98,Germany,Bundesliga,73,LWB,"LB,CDM",normal,Controlled Explosive,0.0,350,3,2,M,H,64,48,66,71,72,70,"172cm | 5'8""",1,391,1903
Hyeon Seok Hong,KAA Gent,Korea Republic,1A Pro League,73,CAM,"CDM,CM",normal,Controlled Explosive,0.0,350,3,3,M,M,68,69,72,76,64,68,"177cm | 5'10""",4,417,2012
Osmar Ibañez Barba,FC Seoul,Spain,K League 1,73,CB,"CDM,CM",normal,Controlled,0.0,350,2,3,M,H,34,60,67,56,73,82,"192cm | 6'4""",1,372,1823
Andrés Ibargüen,Indep. Medellín,Colombia,Libertadores,73,LM,LW,normal,Explosive,0.0,350,3,3,H,M,91,65,69,76,37,44,"168cm | 5'6""",1,382,1804
Roberto Insigne,Palermo,Italy,Serie BKT,73,RW,"RM,LW",normal,Explosive,0.0,350,3,2,H,M,82,67,71,75,27,45,"172cm | 5'8""",0,367,1799
Mikael Ishak,Lech Poznań,Sweden,PKO BP Ekstraklasa,73,ST,CF,normal,Mostly Lengthy,0.0,350,3,5,M,H,72,73,57,65,38,81,"184cm | 6'0""",5,386,1812
Cedric Itten,BSC Young Boys,Switzerland,CSSL,73,ST,CF,normal,Lengthy,0.0,350,3,3,H,M,70,75,62,67,36,80,"190cm | 6'3""",0,390,1853
Alireza Jahanbakhsh,Feyenoord,Iran,Eredivisie,73,RW,RM,normal,Controlled Explosive,0.0,350,3,4,H,H,72,75,69,74,47,74,"181cm | 5'11""",13,411,1999
Ismail Jakobs,AS Monaco,Senegal,Ligue 1 Uber Eats,73,LB,"LWB,LM",normal,Controlled,0.0,650,3,3,M,M,85,59,61,73,66,69,"184cm | 6'0""",2,413,1872
Jakub Jankto,Cagliari,Czech Republic,Serie A TIM,73,LM,"CM,LW",normal,Controlled,0.0,900,3,3,M,M,73,70,70,74,66,63,"184cm | 6'0""",-7,416,2002
Tin Jedvaj,Panathinaikos,Croatia,Hellas Liga,73,CB,0,normal,Controlled Lengthy,350.0,0,2,3,M,M,70,51,57,64,74,75,"185cm | 6'1""",1,391,1802
Václav Jemelka,Viktoria Plzeň,Czech Republic,Česká Liga,73,CB,LB,normal,Mostly Lengthy,0.0,350,2,2,H,M,66,49,63,67,73,77,"187cm | 6'2""",1,395,1842
Isaiah Jones,Middlesbrough,England,EFL Championship,73,RWB,"RB,RM",normal,Mostly Explosive,0.0,350,3,4,H,M,85,55,65,73,64,59,"176cm | 5'9""",4,401,1830
João Pedro,Brighton,Brazil,Premier League,73,ST,"CAM,CF",normal,Controlled Explosive,0.0,1.4K,3,4,H,M,77,70,62,76,25,60,"182cm | 6'0""",22,370,1765
David Jurásek,SL Benfica,Czech Republic,Liga Portugal,73,LB,"LWB,LM",normal,Controlled Lengthy,0.0,350,4,2,H,M,84,61,71,72,67,77,"183cm | 6'0""",4,432,2044
Issa Kabore,Luton Town,Burkina Faso,Premier League,73,RWB,"RB,RM",normal,Controlled Explosive,0.0,850,2,3,H,M,87,39,63,72,65,74,"180cm | 5'11""",4,400,1811
Tino Kadewere,OL,Zimbabwe,Ligue 1 Uber Eats,73,ST,"RM,CF,RW",normal,Controlled,0.0,800,3,3,H,M,74,73,67,74,38,67,"183cm | 6'0""",1,393,1889
Gédéon Kalulu,FC Lorient,Congo DR,Ligue 1 Uber Eats,73,RB,RWB,normal,Controlled,0.0,650,2,3,M,M,81,40,57,69,72,76,"176cm | 5'9""",1,395,1805
Glen Kamara,Rangers,Finland,cinch Prem,73,CM,0,normal,Controlled,0.0,0,3,4,M,M,75,61,68,76,69,73,"183cm | 6'0""",3,422,1990
Thomas Kaminski,Luton Town,Belgium,Premier League,73,GK,0,normal,Controlled,450.0,0,1,3,M,M,72,75,69,74,46,67,"190cm | 6'3""",-1,403,918
Ercan Kara,Orlando City,Austria,MLS,73,ST,CF,normal,Lengthy,0.0,0,2,3,M,M,75,74,51,62,28,86,"192cm | 6'4""",1,376,1758
Yann Karamoh,Torino,France,Serie A TIM,73,CF,"LM,ST",normal,Controlled,0.0,6K,4,4,H,M,77,68,68,76,31,60,"185cm | 6'1""",4,380,1814
Oleksandr Karavaev,Dynamo Kyiv,Ukraine,Ukrayina Liha,73,RB,"RWB,LB,RM",normal,Controlled Explosive,0.0,500,3,4,H,M,77,55,70,71,65,64,"175cm | 5'9""",2,402,1873
Atakan Karazor,VfB Stuttgart,Germany,Bundesliga,73,CDM,"CB,CM",normal,Controlled Lengthy,0.0,350,2,3,L,M,51,36,61,62,76,72,"191cm | 6'3""",4,358,1666
Michał Karbownik,Hertha Berlin,Poland,Bundesliga 2,73,LB,LWB,normal,Controlled Explosive,0.0,250,2,4,H,H,79,45,69,74,68,63,"175cm | 5'9""",7,398,1850
Jesper Karlström,Lech Poznań,Sweden,PKO BP Ekstraklasa,73,CDM,0,normal,Controlled Lengthy,350.0,0,2,3,M,H,67,54,65,67,70,83,"182cm | 6'0""",2,406,1926
Tomasz Kędziora,PAOK FC,Poland,Hellas Liga,73,RB,"RWB,CB",normal,Controlled,0.0,350,2,3,H,M,77,46,66,64,71,73,"183cm | 6'0""",1,397,1846
Caoimhin Kelleher,Liverpool,Republic of Ireland,Premier League,73,GK,0,normal,Controlled,600.0,0,1,3,M,M,72,71,74,76,43,70,"188cm | 6'2""",6,406,846
Lloyd Kelly,AFC Bournemouth,England,Premier League,73,CB,LB,normal,Mostly Lengthy,0.0,400,3,3,M,M,70,40,62,68,73,75,"190cm | 6'3""",0,388,1806
Gyrano Kerk,Royal Antwerp FC,Holland,1A Pro League,73,RM,"RW,ST",normal,Controlled,0.0,350,3,2,H,M,91,71,64,74,36,72,"183cm | 6'0""",4,408,1891
Sung Yueng Ki,FC Seoul,Korea Republic,K League 1,73,CM,CDM,normal,Controlled Lengthy,0.0,350,3,5,M,M,46,63,77,68,64,75,"189cm | 6'2""",0,393,1935
Young Gwon Kim,Ulsan Hyundai,Korea Republic,K League 1,73,CB,0,normal,Mostly Lengthy,350.0,0,2,3,M,H,69,44,63,60,72,79,"186cm | 6'1""",0,387,1825
Maurits Kjaergaard,RB Salzburg,Denmark,Ö. Bundesliga,73,LM,"CM,LW",normal,Controlled,0.0,350,3,3,H,M,75,70,71,71,63,75,"192cm | 6'4""",6,425,2019
Hervé Koffi,Sp. Charleroi,Burkina Faso,1A Pro League,73,GK,0,normal,Controlled Lengthy,350.0,0,1,3,M,M,75,69,68,76,56,67,"186cm | 6'1""",1,411,899
Dominik Kotarski,PAOK FC,Croatia,Hellas Liga,73,GK,0,normal,Controlled,350.0,0,1,2,M,M,72,67,72,77,36,73,"189cm | 6'2""",1,397,847
Jean Evrard Kouassi,Zhejiang Pro,Côte d'Ivoire,CSL,73,LW,"LM,RW,ST",normal,Mostly Explosive,0.0,350,4,4,H,M,89,69,59,77,31,69,"180cm | 5'11""",0,394,1846
Boubakar Kouyaté,Montpellier,Mali,Ligue 1 Uber Eats,73,CB,0,normal,Mostly Lengthy,600.0,0,2,4,M,M,63,36,50,58,73,76,"192cm | 6'4""",3,356,1642
Dawid Kownacki,SV Werder Bremen,Poland,Bundesliga,73,ST,"CAM,CF",normal,Controlled,0.0,350,3,3,M,M,76,74,64,73,34,68,"185cm | 6'1""",8,389,1840
Emil Krafth,Newcastle Utd,Sweden,Premier League,73,RB,"RWB,CB",normal,Controlled Lengthy,0.0,400,3,3,M,M,61,58,68,70,75,67,"184cm | 6'0""",1,399,1912
Damir Kreilach,Real Salt Lake,Croatia,MLS,73,ST,"CDM,CAM,CF",normal,Controlled Lengthy,0.0,350,3,3,H,M,42,74,71,72,64,81,"186cm | 6'1""",1,404,2013
Filip Krovinović,Hajduk Split,Croatia,Liga Hrvatska,73,CAM,"CDM,CM",normal,Controlled,0.0,350,4,4,M,M,67,68,74,75,61,62,"177cm | 5'10""",0,407,1967
Tim Krul,Luton Town,Holland,Premier League,73,GK,0,normal,Controlled,400.0,0,1,2,M,M,73,72,71,76,37,71,"188cm | 6'2""",7,400,872
Sven Kums,KAA Gent,Belgium,1A Pro League,73,CM,0,normal,Controlled,350.0,0,3,4,M,H,42,69,75,72,70,67,"176cm | 5'9""",1,395,1989
Layvin Kurzawa,Paris SG,France,Ligue 1 Uber Eats,73,LB,LWB,normal,Controlled,0.0,750,3,3,H,L,66,65,72,75,72,67,"182cm | 6'0""",-1,417,1996
Giorgi Kvilitaia,Apoel FC,Georgia,Liga Cyprus,73,ST,CF,normal,Mostly Lengthy,0.0,350,2,4,H,L,64,73,59,70,37,75,"193cm | 6'4""",1,378,1797
Giorgos Kyriakopoulos,Monza,Greece,Serie A TIM,73,LWB,"LB,LM",normal,Controlled,0.0,400,2,2,M,M,67,49,64,71,71,68,"178cm | 5'10""",0,390,1818
Qazim Laçi,Sparta Praha,Albania,Česká Liga,73,CM,CDM,normal,Controlled Explosive,0.0,200,3,3,H,H,72,68,72,74,68,75,"175cm | 5'9""",1,429,2047
Loïc Lapoussin,R. Union St.-G.,Madagascar,1A Pro League,73,LM,"CM,LW",normal,Controlled Explosive,0.0,350,3,3,M,M,75,65,67,76,67,72,"181cm | 5'11""",5,422,1956
Jacob Bruun Larsen,Burnley,Denmark,Premier League,73,ST,"LM,CF",normal,Controlled,0.0,400,3,4,M,M,83,72,69,73,55,66,"183cm | 6'0""",5,418,1984
Jørgen Strand Larsen,RC Celta,Norway,LALIGA EA SPORTS,73,ST,CF,normal,Mostly Lengthy,0.0,350,3,3,H,M,77,72,56,67,32,82,"193cm | 6'4""",9,386,1804
Gautier Larsonneur,AS Saint-Étienne,France,Ligue 2 BKT,73,GK,0,normal,Controlled,350.0,0,1,2,M,M,72,71,72,74,52,72,"181cm | 5'11""",1,413,933
Antonio Latorre Grueso,RCD Mallorca,Spain,LALIGA EA SPORTS,73,LB,"LWB,LM",normal,Controlled Explosive,0.0,350,3,4,H,M,74,56,71,71,68,60,"171cm | 5'7""",0,400,1908
Romeo Lavia,Chelsea,Belgium,Premier League,73,CDM,0,normal,Controlled,500.0,0,3,3,M,H,70,42,66,75,72,74,"181cm | 5'11""",6,399,1861
Tom Lawrence,Rangers,Wales,cinch Prem,73,CAM,"CM,LM",normal,Controlled Explosive,0.0,350,4,3,H,M,74,74,72,73,43,71,"180cm | 5'11""",4,407,1956
José Carlos Lazo Romero,RCD Espanyol,Spain,LALIGA HYPERMOTION,73,LM,"ST,LW",normal,Controlled Explosive,0.0,350,3,5,M,M,77,72,71,75,34,55,"180cm | 5'11""",0,384,1808
Jérémy Le Douaron,Stade Brestois 29,France,Ligue 1 Uber Eats,73,ST,"CF,LW",normal,Mostly Lengthy,0.0,600,3,2,M,M,67,72,66,72,49,74,"189cm | 6'2""",0,400,1873
Darragh Lenihan,Middlesbrough,Republic of Ireland,EFL Championship,73,CB,0,normal,Mostly Lengthy,350.0,0,2,3,M,H,67,46,58,59,73,76,"188cm | 6'2""",2,379,1775
Christopher Lenz,RB Leipzig,Germany,Bundesliga,73,LWB,"LB,LM",normal,Controlled,0.0,350,3,3,M,M,70,42,67,69,72,70,"181cm | 5'11""",0,390,1847
Sergio León Limones,R. Valladolid CF,Spain,LALIGA HYPERMOTION,73,ST,CF,normal,Controlled Explosive,0.0,0,3,4,H,M,74,74,67,74,39,70,"178cm | 5'10""",1,398,1925
Johann Lepenant,OL,France,Ligue 1 Uber Eats,73,CDM,CM,normal,Controlled Explosive,0.0,800,3,3,M,M,70,44,67,71,69,70,"176cm | 5'9""",3,391,1843
Lukas Lerager,F.C. København,Denmark,3F Superliga,73,CM,0,normal,Controlled Lengthy,350.0,0,3,3,H,H,68,69,69,69,72,82,"188cm | 6'2""",0,429,2064
Rico Lewis,Manchester City,England,Premier League,73,RB,"RWB,CDM",normal,Controlled Explosive,0.0,1.9K,3,3,H,M,74,43,67,72,70,59,"175cm | 5'9""",47,385,1799
Andrés Llinás,Millonarios,Colombia,Sudamericana,73,CB,0,normal,Mostly Lengthy,400.0,0,2,3,M,H,63,29,50,55,73,75,"187cm | 6'2""",1,345,1569
Raúl Loaiza,Lanús,Colombia,LPF,73,CDM,CM,normal,Controlled,0.0,350,3,3,M,H,57,46,66,66,70,77,"180cm | 5'11""",0,382,1795
Robin Lod,Minnesota United,Finland,MLS,73,RM,"CM,RW,ST",normal,Controlled,0.0,600,3,4,M,M,73,71,71,73,56,71,"181cm | 5'11""",1,415,1964
Luciano Lollo,Estudiantes,Argentina,Sudamericana,73,CB,0,normal,Controlled,300.0,0,2,2,L,M,36,49,50,48,75,72,"184cm | 6'0""",0,330,1598
Luis Lopes,Aberdeen,Cape Verde Islands,cinch Prem,73,ST,"LM,CF,LW",normal,Controlled Explosive,0.0,350,4,3,H,M,86,70,60,74,27,68,"178cm | 5'10""",11,385,1840
Leonardo Lopes de Souza,Zhejiang Pro,Brazil,CSL,73,ST,CF,normal,Controlled Explosive,0.0,350,3,3,H,M,78,75,57,71,33,67,"180cm | 5'11""",0,381,1835
Pedro Pereira,Monza,Portugal,Serie A TIM,73,RWB,"RB,RM",normal,Controlled,0.0,400,3,2,M,M,75,39,65,71,69,66,"185cm | 6'1""",0,385,1825
Hernán López Muñoz,Godoy Cruz,Argentina,LPF,73,CAM,"RM,LM",normal,Explosive,0.0,350,4,2,H,L,84,66,66,79,36,50,"168cm | 5'6""",2,381,1792
Dion Lopy,UD Almería,Senegal,LALIGA EA SPORTS,73,CDM,CM,normal,Controlled Lengthy,0.0,400,2,3,M,M,64,61,70,73,69,73,"186cm | 6'1""",1,410,1940
Nahuel Losada,Belgrano,Argentina,LPF,73,GK,0,normal,Controlled,350.0,0,1,2,M,M,74,74,72,69,41,70,"185cm | 6'1""",2,400,834
Imran Louza,Watford,Morocco,EFL Championship,73,CM,CDM,normal,Controlled,0.0,350,4,3,M,H,61,65,73,75,63,60,"178cm | 5'10""",4,397,1936
Anthony Lozano,Getafe CF,Honduras,LALIGA EA SPORTS,73,ST,"LM,CF",normal,Mostly Lengthy,0.0,350,3,3,M,L,78,73,66,71,36,75,"185cm | 6'1""",4,399,1869
Pol Lozano Vizuete,RCD Espanyol,Spain,LALIGA HYPERMOTION,73,CDM,CM,normal,Controlled Explosive,0.0,200,3,3,M,H,73,60,68,70,67,74,"177cm | 5'10""",0,412,1916
Fabio Lucioni,Palermo,Italy,Serie BKT,73,CB,0,normal,Controlled Lengthy,350.0,0,2,4,L,H,51,36,50,51,75,76,"185cm | 6'1""",0,339,1654
John Lundstram,Rangers,England,cinch Prem,73,CM,"CB,CDM",normal,Controlled Lengthy,0.0,350,2,5,M,M,62,69,70,71,70,77,"181cm | 5'11""",3,419,2009
Senne Lynen,SV Werder Bremen,Belgium,Bundesliga,73,CDM,CM,normal,Mostly Lengthy,0.0,300,2,3,M,H,54,62,71,66,69,76,"185cm | 6'1""",6,398,1907
Jamie Maclaren,Melbourne City,Australia,A-League,73,ST,CF,normal,Mostly Explosive,0.0,350,3,5,H,M,81,73,62,70,38,76,"179cm | 5'10""",1,400,1953
Giangiacomo Magnani,Hellas Verona,Italy,Serie A TIM,73,CB,0,normal,Lengthy,450.0,0,2,3,L,H,69,37,45,50,74,73,"191cm | 6'3""",0,348,1582
Hugo Magnetti,Stade Brestois 29,France,Ligue 1 Uber Eats,73,CDM,CM,normal,Controlled,0.0,650,3,3,M,H,45,49,67,72,68,75,"180cm | 5'11""",0,376,1820
Yohann Magnin,Clermont Foot 63,France,Ligue 1 Uber Eats,73,CDM,CM,normal,Controlled,0.0,650,3,3,M,M,65,57,63,68,70,69,"183cm | 6'0""",0,392,1840
Josh Maja,West Brom,Nigeria,EFL Championship,73,ST,"CAM,CF",normal,Controlled Explosive,0.0,350,3,3,M,L,77,74,62,74,28,63,"181cm | 5'11""",4,378,1794
Jean-Victor Makengo,FC Lorient,France,Ligue 1 Uber Eats,73,CM,CDM,normal,Controlled,0.0,600,3,3,H,H,63,66,72,73,73,70,"177cm | 5'10""",0,417,2010
Wilson Manafá,Granada CF,Portugal,LALIGA EA SPORTS,73,RB,"RWB,LB",normal,Explosive,0.0,350,3,4,H,M,84,58,67,72,69,66,"175cm | 5'9""",2,416,1959
Marco Mancosu,Cagliari,Italy,Serie A TIM,73,CAM,"CF,ST",normal,Controlled,0.0,650,3,4,M,M,60,73,74,73,41,62,"177cm | 5'10""",0,383,1899
Vasco Herculano Mango Fernandes,Casa Pia AC,Portugal,Liga Portugal,73,CB,0,normal,Controlled Lengthy,350.0,0,2,3,M,H,59,40,56,65,75,70,"182cm | 6'0""",0,365,1767
Faitout Maouassa,Club Brugge,France,1A Pro League,73,LM,"LB,LWB,LW",normal,Controlled,0.0,0,3,2,M,M,77,64,71,75,69,74,"170cm | 5'7""",2,430,2045
Lazar Markovic,Gaziantep,Serbia,Trendyol Süper Lig,73,LM,"RM,RW,LW",normal,Explosive,0.0,350,4,3,M,L,85,65,70,78,41,48,"175cm | 5'9""",2,387,1871
Roger Martí Salvador,Cádiz CF,Spain,LALIGA EA SPORTS,73,ST,CF,normal,Controlled,0.0,350,3,3,H,M,73,74,62,72,41,71,"179cm | 5'10""",0,393,1911
Juan Carlos,Girona FC,Spain,LALIGA EA SPORTS,73,GK,0,normal,Controlled Lengthy,350.0,0,1,3,M,M,72,73,72,73,59,71,"186cm | 6'1""",-1,420,998
Adrián Martínez,Instituto,Argentina,LPF,73,ST,CF,normal,Controlled Lengthy,0.0,300,3,3,M,M,71,71,50,67,36,78,"181cm | 5'11""",1,373,1691
Gonzalo Martínez,River Plate,Argentina,Libertadores,73,RM,"LM,CAM,RW",normal,Explosive,0.0,350,4,2,M,L,74,71,72,79,34,55,"172cm | 5'8""",5,385,1881
Emiliano Martínez,FC Midtjylland,Uruguay,3F Superliga,73,CDM,0,normal,Controlled,350.0,0,2,3,M,M,73,56,63,71,71,70,"184cm | 6'0""",0,404,1871
Roger Martínez,Racing Club,Colombia,Libertadores,73,ST,"CF,RW,LW",normal,Controlled,0.0,350,3,4,M,L,76,73,66,75,34,77,"180cm | 5'11""",2,401,1914
Erhan Mašović,VfL Bochum,Serbia,Bundesliga,73,CB,CDM,normal,Controlled Lengthy,0.0,350,2,3,L,M,70,33,49,56,75,71,"189cm | 6'2""",0,354,1591
Jaime Mata Arnaiz,Getafe CF,Spain,LALIGA EA SPORTS,73,ST,"LM,CF",normal,Controlled Lengthy,0.0,350,3,3,H,M,62,73,62,71,31,72,"185cm | 6'1""",0,371,1795
Eliot Matazo,AS Monaco,Belgium,Ligue 1 Uber Eats,73,CDM,CM,normal,Controlled,0.0,700,3,3,H,H,67,58,70,75,67,76,"170cm | 5'7""",0,413,1934
Luca Mazzitelli,Frosinone,Italy,Serie A TIM,73,CM,CDM,normal,Controlled Lengthy,0.0,400,3,4,M,M,53,62,73,71,64,70,"187cm | 6'2""",0,393,1900
Pasquale Mazzocchi,Salernitana,Italy,Serie A TIM,73,RWB,"RB,LWB,RM",normal,Controlled,0.0,450,3,3,H,H,79,58,67,70,69,71,"180cm | 5'11""",0,414,1936
Scott McKenna,Nott'm Forest,Scotland,Premier League,73,CB,0,normal,Controlled Lengthy,500.0,0,2,3,M,H,51,32,46,51,72,80,"189cm | 6'2""",0,332,1544
Marvin Mehlem,SV Darmstadt 98,Germany,Bundesliga,73,CAM,LM,normal,Controlled Explosive,0.0,350,3,3,H,H,69,65,69,76,51,61,"174cm | 5'9""",2,391,1860
Bjorn Meijer,Club Brugge,Holland,1A Pro League,73,LB,"LWB,LM",normal,Lengthy,0.0,350,3,2,H,M,70,62,68,67,70,81,"191cm | 6'3""",1,418,1946
Soualiho Meïté,PAOK FC,France,Hellas Liga,73,CM,CDM,normal,Mostly Lengthy,0.0,350,3,3,M,M,63,59,71,72,71,78,"189cm | 6'2""",1,414,1973
Gonçalo Paciência,RC Celta,Portugal,LALIGA EA SPORTS,73,ST,CF,normal,Controlled Lengthy,0.0,0,4,4,M,L,42,75,59,75,33,77,"184cm | 6'0""",0,361,1842
Benjamin Mendy,FC Lorient,France,Ligue 1 Uber Eats,73,LB,LWB,normal,Controlled Lengthy,0.0,650,3,3,H,M,72,53,74,73,73,67,"185cm | 6'1""",164,412,1943
Lucas Menossi,Tigre,Argentina,Sudamericana,73,CM,0,normal,Controlled Explosive,300.0,0,3,3,M,M,75,62,71,74,66,69,"169cm | 5'7""",0,417,2029
Quentin Merlin,FC Nantes,France,Ligue 1 Uber Eats,73,LB,LWB,normal,Controlled Explosive,0.0,700,3,2,H,M,71,59,73,76,67,56,"174cm | 5'9""",3,402,1959
Matt Miazga,FC Cincinnati,United States,MLS,73,CB,0,normal,Controlled Lengthy,350.0,0,2,3,L,M,46,26,47,57,73,78,"193cm | 6'4""",-1,327,1523
Milad Mohammadi,AEK Athens,Iran,Hellas Liga,73,LB,LWB,normal,Controlled Explosive,0.0,350,3,4,M,M,83,59,67,72,67,73,"177cm | 5'10""",6,421,2000
Aaron Molinas,Tigre,Argentina,Sudamericana,73,CAM,CM,normal,Explosive,0.0,250,3,2,M,M,73,57,73,76,51,59,"175cm | 5'9""",-1,389,1836
Florent Mollet,FC Nantes,France,Ligue 1 Uber Eats,73,CAM,"RM,CM",normal,Controlled Explosive,0.0,1K,3,4,M,M,68,73,75,75,51,62,"174cm | 5'9""",2,404,1978
Jamiro Monteiro,SJ Earthquakes,Cape Verde Islands,MLS,73,CM,"LM,CAM",normal,Controlled Explosive,0.0,350,3,4,H,M,75,62,72,78,56,73,"175cm | 5'9""",0,416,1981
Kieffer Moore,AFC Bournemouth,Wales,Premier League,73,ST,CF,normal,Controlled Lengthy,0.0,450,3,3,M,M,65,70,56,66,46,80,"196cm | 6'5""",1,383,1817
Anthony Moris,R. Union St.-G.,Luxembourg,1A Pro League,73,GK,0,normal,Controlled Lengthy,350.0,0,1,3,M,M,74,70,79,75,47,71,"186cm | 6'1""",2,416,948
Manuel Morlanes Ariño,RCD Mallorca,Spain,LALIGA EA SPORTS,73,CDM,CM,normal,Controlled Explosive,0.0,350,3,3,M,M,67,64,74,73,69,67,"178cm | 5'10""",1,414,1993
Andrés Mosquera,Indep. Medellín,Colombia,Libertadores,73,GK,0,normal,Controlled,350.0,0,1,2,M,M,71,69,66,76,44,73,"185cm | 6'1""",-1,399,875
Jhon Mosquera,Viktoria Plzeň,Colombia,Česká Liga,73,LM,LW,normal,Controlled Lengthy,0.0,350,3,3,H,M,78,69,69,72,58,76,"185cm | 6'1""",-1,422,1991
Fahd Moufi,Hajduk Split,Morocco,Liga Hrvatska,73,RB,RWB,normal,Controlled,0.0,350,2,3,H,M,74,39,64,70,69,80,"177cm | 5'10""",1,396,1835
Samuel Moutoussamy,FC Nantes,Congo DR,Ligue 1 Uber Eats,73,CM,CDM,normal,Controlled Explosive,0.0,600,3,3,M,H,69,58,69,74,72,75,"176cm | 5'9""",3,417,1966
Franco Moyano,Argentinos Jrs.,Argentina,Libertadores,73,CDM,CM,normal,Controlled,0.0,350,3,3,M,M,68,56,70,73,70,69,"171cm | 5'7""",0,406,1902
