p_name,p_club,p_nation,p_league,p_rating,p_position,Alternate_Positions,Card_Version,Run_Style,Skills_Star,Weak_Foot_Star,Attack_Workrate,Defense_Workrate,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defense / Speed,Physical / Positioning,Height
Horacio Orzán,FBC Melgar,Argentina,Libertadores,70,CDM,"CB,CM",normal,Controlled,3,3,M,M,83,56,70,70,64,73,"177cm | 5'10"""
Gabriel Osho,Luton Town,England,Premier League,70,CB,0,normal,Mostly Lengthy,2,3,H,M,72,30,54,62,70,74,"185cm | 6'1"""
Milutin Osmajić,Cádiz CF,Montenegro,LALIGA EA SPORTS,70,ST,"RM,LM,CF",normal,Controlled Lengthy,3,5,M,M,74,73,60,62,37,71,"185cm | 6'1"""
Yordan Osorio,Parma,Venezuela,Serie BKT,70,CB,0,normal,Mostly Lengthy,2,2,L,M,55,31,44,51,69,78,"186cm | 6'1"""
Levin Öztunalı,Hamburger SV,Germany,Bundesliga 2,70,CAM,"RW,LW",normal,Controlled,3,3,M,L,74,67,68,73,48,67,"184cm | 6'0"""
Sergi Palencia Hurtado,LAFC,Spain,MLS,70,RB,"RWB,RM",normal,Controlled Explosive,3,3,M,M,73,56,60,69,67,73,"172cm | 5'8"""
Victor Pálsson,KAS Eupen,Iceland,1A Pro League,70,CDM,CB,normal,Controlled Lengthy,2,3,L,H,72,56,58,60,71,79,"186cm | 6'1"""
Miloš Pantović,KAS Eupen,Serbia,1A Pro League,70,CAM,CM,normal,Controlled,3,3,M,M,71,69,68,73,40,63,"186cm | 6'1"""
Aitor Paredes,Athletic Club,Spain,LALIGA EA SPORTS,70,CB,0,normal,Controlled Lengthy,2,3,L,M,63,31,47,52,70,67,"186cm | 6'1"""
Seung Wook Park,Pohang Steelers,Korea Republic,K League 1,70,RB,"RWB,CB,LB",normal,Mostly Lengthy,3,4,M,H,75,42,61,63,66,79,"184cm | 6'0"""
Nicolás Pasquini,Sporting Cristal,Argentina,Libertadores,70,LB,"LWB,CM,LM",normal,Controlled Explosive,3,2,M,M,75,59,72,63,65,71,"172cm | 5'8"""
Felix Passlack,VfL Bochum,Germany,Bundesliga,70,RM,"RB,CM,RW",normal,Controlled Explosive,3,4,M,M,69,62,67,71,66,72,"172cm | 5'8"""
Louis Patris,RSC Anderlecht,Belgium,1A Pro League,70,RB,"RWB,CB",normal,Controlled Lengthy,2,3,H,M,76,49,61,60,69,74,"185cm | 6'1"""
Leonardo Pavoletti,Cagliari,Italy,Serie A TIM,70,ST,CF,normal,Controlled Lengthy,2,3,M,L,58,67,52,62,38,73,"188cm | 6'2"""
Matty Pearson,Huddersfield,England,EFL Championship,70,CB,RB,normal,Controlled Lengthy,2,3,M,H,55,43,50,54,70,77,"190cm | 6'3"""
Tomáš Pekhart,Legia Warszawa,Czech Republic,PKO BP Ekstraklasa,70,ST,CF,normal,Controlled Lengthy,2,3,L,L,59,71,54,57,33,77,"194cm | 6'4"""
Nathan,SJ Earthquakes,Brazil,MLS,70,CB,0,normal,Controlled Lengthy,2,2,H,H,72,44,52,58,69,76,"189cm | 6'2"""
Timothée Pembélé,Paris SG,France,Ligue 1 Uber Eats,70,RB,RWB,normal,Mostly Explosive,3,3,M,M,86,49,63,71,64,64,"182cm | 6'0"""
Alexandre Penetra Correia,AZ,Portugal,Eredivisie,70,RB,"RWB,CB",normal,Controlled Lengthy,2,2,M,M,67,36,52,48,71,72,"186cm | 6'1"""
Juan Carlos Pereira,Millonarios,Colombia,Sudamericana,70,CM,CDM,normal,Controlled,3,3,H,M,77,65,67,72,63,72,"182cm | 6'0"""
Sebastián Pérez,Boavista FC,Colombia,Liga Portugal,70,CM,CDM,normal,Controlled,3,3,M,M,68,59,62,67,65,69,"175cm | 5'9"""
Njegos? Petrovic´,Granada CF,Serbia,LALIGA EA SPORTS,70,CDM,CM,normal,Controlled Lengthy,2,3,M,M,58,51,66,62,66,75,"185cm | 6'1"""
Patrick Pflücke,KV Mechelen,Germany,1A Pro League,70,LM,"CM,LW",normal,Explosive,3,3,H,H,79,64,67,72,47,53,"170cm | 5'7"""
Harry Pickering,Blackburn Rovers,England,EFL Championship,70,LB,LWB,normal,Controlled,2,2,M,H,73,51,64,65,66,70,"183cm | 6'0"""
Hamilton Piedra,Dep. Cuenca,Ecuador,Sudamericana,70,GK,0,normal,Controlled,1,3,M,M,70,70,72,70,42,69,"182cm | 6'0"""
Iván Pillud,Racing Club,Argentina,Libertadores,70,RB,RWB,normal,Controlled,2,2,M,M,63,58,65,63,69,73,"180cm | 5'11"""
Markus Pink,Shanghai Port,Austria,CSL,70,ST,CF,normal,Controlled Lengthy,2,3,M,L,52,70,55,64,28,79,"188cm | 6'2"""
Robert Piris Da Motta,Cerro Porteño,Paraguay,Libertadores,70,CDM,"CB,CM",normal,Controlled,3,2,M,H,61,39,58,62,69,79,"180cm | 5'11"""
Mauro Pittón,Central Córdoba,Argentina,LPF,70,CM,"CDM,RM",normal,Controlled Explosive,3,3,M,M,76,55,67,70,67,69,"181cm | 5'11"""
Marko Pjaca,Juventus,Croatia,Serie A TIM,70,CF,"CAM,ST",normal,Controlled,3,4,H,L,72,66,71,71,38,59,"186cm | 6'1"""
Julian Pollersbeck,1. FC Magdeburg,Germany,Bundesliga 2,70,GK,0,normal,Controlled,1,3,M,M,71,66,70,71,37,70,"195cm | 6'5"""
Andy Polo,Universitario,Peru,Sudamericana,70,RM,"RWB,RW",normal,Explosive,3,3,M,M,89,57,62,72,59,63,"173cm | 5'8"""
Matt Polster,New England,United States,MLS,70,CDM,CM,normal,Controlled,2,3,M,M,46,46,66,64,65,79,"183cm | 6'0"""
Giacomo Poluzzi,Südtirol,Italy,Serie BKT,70,GK,0,normal,Controlled,1,2,M,M,66,69,64,70,44,73,"184cm | 6'0"""
Octavian Popescu,FCSB,Romania,SUPERLIGA,70,LW,"LM,CAM",normal,Mostly Explosive,4,4,M,M,82,66,67,75,31,57,"180cm | 5'11"""
Lucas Possignolo,Zhejiang Pro,Brazil,CSL,70,CB,0,normal,Controlled Lengthy,2,2,M,M,50,37,46,50,70,75,"188cm | 6'2"""
Sergio Postigo Redondo,Levante UD,Spain,LALIGA HYPERMOTION,70,CB,0,normal,Controlled Lengthy,2,3,L,M,65,46,52,54,71,72,"185cm | 6'1"""
Tomás Pozzo,Independiente,Argentina,LPF,70,RM,"LM,RW,ST",normal,Mostly Explosive,3,2,H,L,76,61,67,74,45,54,"168cm | 5'6"""
Pratto,Defensa,Argentina,Sudamericana,70,ST,"CAM,CF",normal,Controlled Lengthy,3,3,M,M,53,70,69,69,55,77,"186cm | 6'1"""
Ángelo Preciado,KRC Genk,Ecuador,1A Pro League,70,RB,"RWB,RM",normal,Mostly Explosive,3,3,H,L,83,60,61,71,63,63,"173cm | 5'8"""
Adonis Preciado,Barcelona SC,Ecuador,Libertadores,70,RM,"RB,LM,RW",normal,Mostly Explosive,3,3,H,M,89,55,63,69,49,47,"175cm | 5'9"""
Gianluca Prestianni,Vélez Sarsfield,Argentina,LPF,70,RM,"CAM,RW",normal,Explosive,4,3,H,L,88,60,62,77,35,46,"165cm | 5'5"""
Dirk Proper,N.E.C. Nijmegen,Holland,Eredivisie,70,CDM,CM,normal,Controlled Explosive,2,3,M,M,62,51,65,74,64,59,"168cm | 5'6"""
Cameron Puertas,R. Union St.-G.,Switzerland,1A Pro League,70,CM,"CAM,CF",normal,Controlled,3,4,H,H,73,66,69,71,67,73,"178cm | 5'10"""
Ignacio Pussetto,Huracán,Argentina,Sudamericana,70,ST,CF,normal,Controlled Explosive,3,4,M,L,72,70,62,72,24,55,"180cm | 5'11"""
Robin Quaison,Ettifaq FC,Sweden,ROSHN Saudi League,70,CF,"LM,ST",normal,Controlled,3,3,M,M,69,70,65,73,44,70,"183cm | 6'0"""
Leonel Quiñonez,LDU Quito,Ecuador,Sudamericana,70,LB,"LWB,LM",normal,Controlled Explosive,2,2,H,M,75,62,68,68,64,73,"180cm | 5'11"""
Aldair Quintana,Dep. Pereira,Colombia,Libertadores,70,GK,0,normal,Controlled,1,2,M,M,68,70,67,69,22,69,"195cm | 6'5"""
Alberto Quintero,Cienciano,Panama,Sudamericana,70,LM,"RM,ST,LW",normal,Explosive,4,3,M,M,83,67,64,71,20,60,"167cm | 5'6"""
Risto Radunović,FCSB,Montenegro,SUPERLIGA,70,LB,LWB,normal,Controlled Lengthy,2,3,M,H,78,58,64,63,66,80,"183cm | 6'0"""
Yanis Rahmani,SD Eibar,France,LALIGA HYPERMOTION,70,LM,"RM,LW",normal,Mostly Explosive,3,3,H,L,81,69,63,75,31,59,"179cm | 5'10"""
Benito Ramírez del Toro,UD Las Palmas,Spain,LALIGA EA SPORTS,70,LB,"LWB,RM,LM",normal,Controlled Explosive,3,3,H,M,86,65,65,70,63,67,"179cm | 5'10"""
Aaron Ramsey,Burnley,England,Premier League,70,LM,"CM,CAM,LW",normal,Controlled Explosive,4,3,H,M,73,63,67,72,50,60,"181cm | 5'11"""
Rene Renner,LASK,Austria,Ö. Bundesliga,70,LB,"LWB,LM",normal,Mostly Explosive,3,3,M,M,81,61,64,67,63,68,"182cm | 6'0"""
Leandro Requena,Cobresal,Argentina,Sudamericana,70,GK,0,normal,Controlled,1,3,M,M,70,67,70,68,59,72,"186cm | 6'1"""
Paolo Reyna,FBC Melgar,Peru,Libertadores,70,LB,"LWB,LM",normal,Controlled,2,3,M,M,84,55,63,59,62,71,"183cm | 6'0"""
Bryan Reynolds,KVC Westerlo,United States,1A Pro League,70,RWB,RB,normal,Controlled,2,3,M,M,68,47,62,62,66,67,"188cm | 6'2"""
Ricardo Ryller,Al Fayha,Brazil,ROSHN Saudi League,70,CM,CDM,normal,Controlled Lengthy,3,4,M,M,60,63,66,67,66,76,"184cm | 6'0"""
Andrés Ricaurte,Indep. Medellín,Colombia,Libertadores,70,CAM,"CDM,CM",normal,Controlled Lengthy,4,4,M,M,55,58,74,69,56,65,"184cm | 6'0"""
Mikel Rico Moreno,FC Cartagena,Spain,LALIGA HYPERMOTION,70,CM,CDM,normal,Controlled,2,3,M,M,38,68,66,66,71,72,"179cm | 5'10"""
Emil Riis,Preston,Denmark,EFL Championship,70,ST,CF,normal,Mostly Lengthy,3,4,H,M,72,72,53,65,28,71,"190cm | 6'3"""
Alexander Ring,Austin FC,Finland,MLS,70,CB,CDM,normal,Controlled,2,3,M,H,68,66,68,72,69,78,"175cm | 5'9"""
Juan David Ríos,Deportes Tolima,Colombia,Sudamericana,70,CDM,CM,normal,Controlled,2,3,M,H,64,51,60,63,70,75,"175cm | 5'9"""
Josh Risdon,Western United,Australia,A-League,70,RB,RWB,normal,Controlled,3,3,H,M,73,49,60,65,67,80,"167cm | 5'6"""
Marlon Ritter,Kaiserslautern,Germany,Bundesliga 2,70,CDM,CM,normal,Controlled Explosive,3,3,H,H,75,67,69,74,65,67,"173cm | 5'8"""
Williams Riveros,Universitario,Paraguay,Sudamericana,70,CB,0,normal,Mostly Lengthy,2,3,L,H,62,39,50,53,69,76,"186cm | 6'1"""
Callum Robinson,Cardiff City,Republic of Ireland,EFL Championship,70,ST,"LM,CF",normal,Controlled Explosive,3,3,M,M,79,70,65,74,32,63,"178cm | 5'10"""
Gerson Rodrigues Gouveia,Sivasspor,Luxembourg,Trendyol Süper Lig,70,LM,"ST,LW",normal,Mostly Lengthy,4,2,M,M,82,65,64,67,44,80,"185cm | 6'1"""
Leonardo Rodrigues Lima,Estrela Amadora,Brazil,Liga Portugal,70,LW,"LM,RW",normal,Controlled Explosive,3,3,M,L,85,66,63,71,26,62,"178cm | 5'10"""
Carlos Rodríguez,Barcelona SC,Uruguay,Libertadores,70,CB,0,normal,Controlled Lengthy,2,2,H,M,53,38,46,50,71,78,"183cm | 6'0"""
Rodríguez,Nacional,Uruguay,Libertadores,70,CDM,CM,normal,Controlled,2,3,M,H,64,56,66,67,67,70,"169cm | 5'7"""
Chema Rodríguez,AD Alcorcón,Spain,LALIGA HYPERMOTION,70,CB,LB,normal,Controlled Lengthy,2,3,M,H,56,59,58,60,70,73,"189cm | 6'2"""
Andy,Burgos CF,Spain,LALIGA HYPERMOTION,70,CM,CDM,normal,Controlled Lengthy,2,3,M,M,53,68,70,68,67,74,"185cm | 6'1"""
Jony,Latium,Spain,Serie A TIM,70,LW,LM,normal,Controlled Explosive,3,3,H,M,78,67,71,71,52,69,"179cm | 5'10"""
Álvaro Rodríguez Pérez,Albacete BP,Spain,LALIGA HYPERMOTION,70,RB,"RWB,RM",normal,Controlled Lengthy,2,3,M,M,60,43,64,62,70,67,"181cm | 5'11"""
Manuel Roffo,Instituto,Argentina,LPF,70,GK,0,normal,Controlled,1,4,M,M,73,70,67,70,23,66,"184cm | 6'0"""
Iván Rojas,Santa Fe,Colombia,Sudamericana,70,CDM,CM,normal,Controlled,2,3,M,M,61,45,61,59,69,69,"178cm | 5'10"""
Santiago Rojas,Tigre,Paraguay,Sudamericana,70,GK,0,normal,Controlled,1,3,M,M,71,68,70,70,25,69,"189cm | 6'2"""
Enzo Roldán,Unión,Argentina,LPF,70,CM,CDM,normal,Controlled Explosive,3,3,M,M,76,65,67,68,65,65,"176cm | 5'9"""
Simone Romagnoli,Frosinone,Italy,Serie A TIM,70,CB,0,normal,Controlled Lengthy,2,2,L,M,55,40,47,55,70,77,"193cm | 6'4"""
André Rømer,FC Midtjylland,Denmark,3F Superliga,70,CDM,CM,normal,Controlled Lengthy,2,3,M,H,64,56,64,66,67,78,"186cm | 6'1"""
Farley Vieira Rosa,Tianjin JMT FC,Brazil,CSL,70,RM,"LM,RW",normal,Mostly Explosive,3,3,M,L,87,64,65,71,22,55,"176cm | 5'9"""
Keegan Rosenberry,Colorado Rapids,United States,MLS,70,RB,"RWB,CB,RM",normal,Controlled,2,3,M,M,68,51,62,66,68,74,"173cm | 5'8"""
Loreintz Rosier,Fortuna Sittard,France,Eredivisie,70,CDM,CM,normal,Lengthy,2,3,M,H,61,60,65,66,67,77,"190cm | 6'3"""
Bryan Rovira,Uni. Católica,Colombia,Sudamericana,70,CDM,CM,normal,Controlled,2,3,M,M,56,55,63,61,71,74,"177cm | 5'10"""
Kye Rowles,Hearts,Australia,cinch Prem,70,CB,0,normal,Mostly Lengthy,2,3,M,M,66,24,46,44,71,76,"185cm | 6'1"""
Waldo Rubio Martin,CD Tenerife,Spain,LALIGA HYPERMOTION,70,LM,"RM,LW",normal,Mostly Explosive,4,4,H,M,85,71,63,73,37,65,"182cm | 6'0"""
Pablo Ruiz,Real Salt Lake,Argentina,MLS,70,CDM,CM,normal,Controlled,2,2,H,H,66,59,66,67,68,63,"172cm | 5'8"""
Sergio Ruiz Alonso,Granada CF,Spain,LALIGA EA SPORTS,70,CDM,CM,normal,Controlled,2,3,H,M,62,62,64,68,66,71,"176cm | 5'9"""
Ramiro Ruiz,Atlético Tucumán,Argentina,LPF,70,ST,"LM,CF",normal,Controlled Lengthy,3,2,H,M,79,68,66,70,38,67,"185cm | 6'1"""
Patrick William,Rio Ave FC,Brazil,Liga Portugal,70,CB,0,normal,Controlled Lengthy,2,3,M,H,57,61,63,56,69,76,"185cm | 6'1"""
Marwane Saadane,Al Fateh,Morocco,ROSHN Saudi League,70,CB,CDM,normal,Lengthy,2,3,L,H,57,51,60,61,68,84,"188cm | 6'2"""
Stefano Sabelli,Genoa,Italy,Serie A TIM,70,RWB,"RB,RM",normal,Controlled Explosive,3,3,M,H,74,39,59,61,66,69,"176cm | 5'9"""
Abdelhamid Sabiri,Fiorentina,Morocco,Serie A TIM,70,CAM,"CM,LM",normal,Controlled,3,4,M,M,59,69,68,75,56,64,"186cm | 6'1"""
Ismael Saibari,PSV,Morocco,Eredivisie,70,RW,RM,normal,Controlled,4,4,M,M,76,65,66,73,43,72,"185cm | 6'1"""
Maximiliano Salas,Palestino,Argentina,Sudamericana,70,ST,"RM,CF",normal,Controlled,3,3,M,L,71,72,67,73,27,66,"172cm | 5'8"""
Saúl Salcedo,Olimpia,Paraguay,Libertadores,70,CB,0,normal,Mostly Lengthy,2,2,L,H,56,33,43,53,71,75,"183cm | 6'0"""
Brian Salvareschi,Godoy Cruz,Argentina,LPF,70,CB,0,normal,Mostly Lengthy,2,3,L,M,60,33,47,52,69,76,"188cm | 6'2"""
Mamadou Samassa,Stade Lavallois,Mali,Ligue 2 BKT,70,GK,0,normal,Controlled Lengthy,1,1,M,M,70,67,67,71,49,70,"198cm | 6'6"""
Fabián Sambueza,Santa Fe,Argentina,Sudamericana,70,RM,"LM,CAM,RW",normal,Controlled Explosive,3,4,M,M,73,64,73,70,37,48,"170cm | 5'7"""
Sergi Samper Montañá,FC Andorra,Spain,LALIGA HYPERMOTION,70,CDM,CM,normal,Controlled Lengthy,2,3,L,M,41,43,66,66,66,68,"182cm | 6'0"""
Alfons Sampsted,FC Twente,Iceland,Eredivisie,70,RB,RWB,normal,Mostly Explosive,3,3,H,H,81,47,60,68,63,72,"180cm | 5'11"""
Rubén Sánchez Sáez,CD Mirandés,Spain,LALIGA HYPERMOTION,70,RM,"RB,RW",normal,Controlled,3,3,H,H,82,61,64,68,62,70,"185cm | 6'1"""
José Sand,Lanús,Argentina,LPF,70,ST,CF,normal,Controlled Lengthy,3,4,H,L,45,75,59,64,37,64,"182cm | 6'0"""
Philippe Sandler,N.E.C. Nijmegen,Holland,Eredivisie,70,CB,0,normal,Mostly Lengthy,3,3,H,M,63,39,64,68,70,71,"190cm | 6'3"""
James Sands,New York City FC,United States,MLS,70,CB,CDM,normal,Controlled Lengthy,2,3,L,H,51,50,62,66,70,72,"186cm | 6'1"""
Roque Santa Cruz,Libertad,Paraguay,Libertadores,70,ST,CF,normal,Controlled,3,3,M,M,33,74,59,62,36,64,"191cm | 6'3"""
Danilo Santacruz,Dep. Pereira,Paraguay,Libertadores,70,CAM,"RM,LM",normal,Controlled Explosive,4,4,H,M,81,70,61,72,30,52,"177cm | 5'10"""
Eduardo Gabriel Santos Bauermann,Alanyaspor,Brazil,Trendyol Süper Lig,70,CB,0,normal,Mostly Lengthy,2,2,M,H,61,30,44,50,70,75,"184cm | 6'0"""
Nathan Santos de Araújo,FC Famalicão,Brazil,Liga Portugal,70,RWB,"RB,CB",normal,Controlled,2,3,H,M,83,39,57,71,64,70,"183cm | 6'0"""
Tayyip Sanuç,Beşiktaş,Turkey,Trendyol Süper Lig,70,CB,0,normal,Controlled Lengthy,2,2,M,H,60,43,48,58,69,75,"188cm | 6'2"""
Noah Joel Sarenren Bazee,FC Augsburg,Nigeria,Bundesliga,70,RM,RW,normal,Controlled,3,3,M,M,81,61,64,73,29,48,"183cm | 6'0"""
Amin Sarr,OL,Sweden,Ligue 1 Uber Eats,70,ST,"CF,LW",normal,Controlled,3,3,M,M,91,67,58,69,25,68,"188cm | 6'2"""
George Saville,Millwall,Northern Ireland,EFL Championship,70,CM,CDM,normal,Controlled,3,3,M,M,63,66,69,69,68,73,"182cm | 6'0"""
Daniel Schmidt,STVV,Japan,1A Pro League,70,GK,0,normal,Controlled,1,4,M,M,71,66,70,73,17,66,"196cm | 6'5"""
Jan Schöppner,Heidenheim,Germany,Bundesliga,70,CDM,0,normal,Mostly Lengthy,2,3,M,H,64,57,63,62,68,80,"190cm | 6'3"""
Ignacio Schor,Newell's,Argentina,Sudamericana,70,LM,"CAM,ST,LW",normal,Controlled Explosive,4,3,H,M,75,62,67,70,51,64,"182cm | 6'0"""
Alexander Schwolow,Union Berlin,Germany,Bundesliga,70,GK,0,normal,Controlled,1,3,M,M,72,62,63,73,37,70,"190cm | 6'3"""
Luis Segovia,RWD Molenbeek,Ecuador,1A Pro League,70,CB,LB,normal,Controlled Lengthy,2,2,M,M,71,42,53,55,69,75,"182cm | 6'0"""
Ken Sema,Watford,Sweden,EFL Championship,70,LM,LW,normal,Controlled,3,3,M,M,78,65,68,71,60,68,"180cm | 5'11"""
Alfa Semedo Esteves,Al Tai,Guinea-Bissau,ROSHN Saudi League,70,CDM,"CB,CM",normal,Mostly Lengthy,3,3,H,M,67,59,60,69,70,79,"190cm | 6'3"""
Antoine Semenyo,AFC Bournemouth,Ghana,Premier League,70,ST,CF,normal,Controlled,3,4,H,M,82,68,59,70,22,72,"180cm | 5'11"""
Adrian Šemper,Como,Croatia,Serie BKT,70,GK,0,normal,Controlled,1,2,M,M,71,67,63,70,31,68,"194cm | 6'4"""
Young Woo Seol,Ulsan Hyundai,Korea Republic,K League 1,70,RB,"RWB,LB",normal,Controlled Explosive,3,4,H,M,81,47,64,65,62,72,"180cm | 5'11"""
Nico Serrano,PEC Zwolle,Spain,Eredivisie,70,LM,"RM,CAM,LW",normal,Controlled Explosive,3,2,M,M,74,65,64,75,24,48,"178cm | 5'10"""
Kevin Sessa,Heidenheim,Germany,Bundesliga,70,RM,"CM,RW",normal,Explosive,3,3,M,M,82,58,67,72,61,59,"175cm | 5'9"""
Michal Ševčík,Sparta Praha,Czech Republic,Česká Liga,70,CAM,"CM,RW",normal,Controlled Explosive,3,3,M,L,70,66,70,74,44,65,"181cm | 5'11"""
Juan Sforza,Newell's,Argentina,Sudamericana,70,CDM,CM,normal,Controlled,3,3,M,M,71,60,69,69,63,70,"180cm | 5'11"""
Giuseppe Sibilli,Bari,Italy,Serie BKT,70,CF,"CAM,ST,LW",normal,Controlled Explosive,3,3,M,M,77,65,65,74,34,66,"180cm | 5'11"""
Vincent Sierro,Toulouse FC,Switzerland,Ligue 1 Uber Eats,70,CM,CDM,normal,Controlled Lengthy,3,2,M,M,62,60,72,67,62,73,"187cm | 6'2"""
Tim Siersleben,Heidenheim,Germany,Bundesliga,70,CB,0,normal,Mostly Lengthy,2,2,L,M,52,33,48,55,71,71,"187cm | 6'2"""
Romário Baró,FC Porto,Portugal,Liga Portugal,70,CM,RM,normal,Controlled Explosive,3,4,M,M,71,67,69,73,54,60,"180cm | 5'11"""
Victor Hugo Silva Braga,Al Tai,Brazil,ROSHN Saudi League,70,GK,0,normal,Controlled Lengthy,1,3,M,M,70,67,71,73,47,68,"193cm | 6'4"""
Igor Silva de Almeida,FC Lorient,Brazil,Ligue 1 Uber Eats,70,RB,RWB,normal,Controlled Explosive,3,2,H,M,75,54,63,72,66,64,"173cm | 5'8"""
Isnairo Reis Silva Morais,Jeju United,Brazil,K League 1,70,LW,"LM,RW",normal,Explosive,4,4,H,M,81,66,63,74,33,52,"175cm | 5'9"""
Matheus Simoneti Bressaneli,Nantong Zhiyun FC,Brazil,CSL,70,CB,RB,normal,Controlled Lengthy,2,2,L,H,65,38,52,52,69,75,"182cm | 6'0"""
Doğukan Sinik,Hull City,Turkey,EFL Championship,70,LW,LM,normal,Mostly Explosive,4,4,H,L,81,63,65,75,38,49,"180cm | 5'11"""
Tobias Sippel,M'gladbach,Germany,Bundesliga,70,GK,0,normal,Controlled Lengthy,1,2,M,M,69,66,74,71,47,67,"183cm | 6'0"""
Hugo Siquet,Cercle Brugge,Belgium,1A Pro League,70,RM,"RB,RW",normal,Controlled Explosive,3,4,H,M,74,59,73,69,65,66,"180cm | 5'11"""
Regan Slater,Hull City,England,EFL Championship,70,CM,"CDM,LM",normal,Controlled Explosive,2,3,H,H,69,63,69,73,65,69,"171cm | 5'7"""
Rafa Soares,PAOK FC,Portugal,Hellas Liga,70,LB,LWB,normal,Controlled Explosive,3,3,H,M,74,60,67,70,66,66,"177cm | 5'10"""
Thibo Somers,Cercle Brugge,Belgium,1A Pro League,70,CF,"RM,ST",normal,Controlled,3,4,H,H,80,70,67,70,55,78,"178cm | 5'10"""
Min Kyu Song,Jeonbuk Hyundai,Korea Republic,K League 1,70,LW,"LM,RW",normal,Controlled Explosive,4,4,H,M,81,69,60,73,35,74,"179cm | 5'10"""
Joel Soñora,Huracán,United States,Sudamericana,70,CAM,CM,normal,Controlled Explosive,3,4,H,L,80,66,70,73,55,59,"174cm | 5'9"""
Frederik Sørensen,Ternana,Denmark,Serie BKT,70,CB,0,normal,Controlled,2,3,M,M,51,33,61,59,69,79,"194cm | 6'4"""
Christian Sørensen,F.C. København,Denmark,3F Superliga,70,LB,LWB,normal,Controlled Explosive,3,3,H,M,76,62,70,69,61,71,"179cm | 5'10"""
Mario Soriano Carreño,SD Eibar,Spain,LALIGA HYPERMOTION,70,CAM,0,normal,Controlled Explosive,3,3,H,M,75,71,62,76,32,66,"163cm | 5'4"""
Alberto Soro Álvarez,Granada CF,Spain,LALIGA EA SPORTS,70,RM,"LM,RW,ST",normal,Controlled Explosive,3,3,M,M,77,63,68,71,44,61,"173cm | 5'8"""
Lucas Sosa,Barcelona SC,Argentina,Libertadores,70,CB,LB,normal,Controlled,2,2,L,M,69,37,56,58,70,75,"179cm | 5'10"""
Gonzalo Sosa,Audax Italiano,Argentina,Sudamericana,70,ST,CF,normal,Controlled Lengthy,2,3,M,L,59,72,45,63,21,71,"182cm | 6'0"""
Alexis Soto,Defensa,Argentina,Sudamericana,70,LB,"CB,LWB",normal,Controlled Explosive,3,2,M,M,79,46,62,71,64,73,"177cm | 5'10"""
Leonai Souza de Almeida,Barcelona SC,Brazil,Libertadores,70,CDM,CM,normal,Controlled,2,3,M,H,63,62,62,66,71,73,"174cm | 5'9"""
Sem Steijn,FC Twente,Holland,Eredivisie,70,CAM,CM,normal,Controlled Explosive,3,3,H,M,63,67,67,74,34,65,"173cm | 5'8"""
Leonidas Stergiou,VfB Stuttgart,Switzerland,Bundesliga,70,CB,0,normal,Controlled,2,3,L,M,84,32,54,52,70,77,"180cm | 5'11"""
Enda Stevens,Stoke City,Republic of Ireland,EFL Championship,70,LB,LWB,normal,Controlled Lengthy,3,2,M,M,65,45,64,69,66,71,"183cm | 6'0"""
Leo Štulac,Palermo,Slovenia,Serie BKT,70,CDM,CM,normal,Controlled,2,3,M,M,68,61,68,67,67,66,"175cm | 5'9"""
Ivan Šunjić,Birmingham City,Croatia,EFL Championship,70,CDM,CM,normal,Controlled,2,3,M,H,61,57,58,63,70,76,"185cm | 6'1"""
Adrian Șut,FCSB,Romania,SUPERLIGA,70,CDM,CM,normal,Controlled Lengthy,2,2,M,H,70,62,63,64,69,74,"186cm | 6'1"""
Abakar Sylla,Strasbourg,Côte d'Ivoire,Ligue 1 Uber Eats,70,CB,0,normal,Controlled Lengthy,2,3,L,M,70,30,54,69,67,77,"185cm | 6'1"""
Vicente Taborda,Boca Juniors,Argentina,Libertadores,70,CAM,"CM,ST",normal,Controlled,3,3,H,L,71,68,67,69,52,64,"175cm | 5'9"""
Benjamin Tahirović,Ajax,Bosnia and Herzegovina,Eredivisie,70,CDM,0,normal,Controlled Lengthy,2,3,M,M,55,43,65,69,65,69,"191cm | 6'3"""
Ismael Tajouri-Shradi,Minnesota United,Libya,MLS,70,RM,"RW,LW",normal,Explosive,3,4,H,L,82,70,63,74,33,56,"170cm | 5'7"""
Florin Tănase,Al Okhdood,Romania,ROSHN Saudi League,70,CF,"CAM,ST",normal,Controlled,3,3,M,L,74,69,72,69,42,55,"185cm | 6'1"""
Rodrigo Tarín Higón,R. Oviedo,Spain,LALIGA HYPERMOTION,70,CB,RB,normal,Mostly Lengthy,2,3,M,M,77,37,50,59,69,74,"184cm | 6'0"""
Ștefan Târnovanu,FCSB,Romania,SUPERLIGA,70,GK,0,normal,Controlled,1,2,M,M,68,65,65,73,55,73,"197cm | 6'6"""
Martin Távara,Sporting Cristal,Peru,Libertadores,70,CM,CDM,normal,Controlled,2,2,M,M,67,64,65,67,63,69,"184cm | 6'0"""
Mahmut Tekdemir,Başakşehir,Turkey,Trendyol Süper Lig,70,CDM,CM,normal,Controlled,2,3,M,M,51,59,63,67,71,68,"178cm | 5'10"""
Lino Tempelmann,FC Schalke 04,Germany,Bundesliga 2,70,CM,CDM,normal,Mostly Explosive,3,3,H,M,75,54,64,74,66,66,"174cm | 5'9"""
